Aafrika	Afrika
Rio Ferdinand	Rio Ferdinand
Intranet	Intranett
Sepp Blatter	Sepp Blatter
Purskkaev	Fontene
Aasia mängud	Asialekene
Tadžikid	Tadsjiker
Kelly Clarkson	Kelly Clarkson
Villach	Villach
Aurustumissoojus	Fordampningsvarme
Walmart	Walmart
Sum 41	Sum 41
Valgevenelased	Hviterussere
Rivaldo	Rivaldo
Alan Shearer	Alan Shearer
Mozilla Thunderbird	Mozilla Thunderbird
Marco van Basten	Marco van Basten
Triikraud	Strykejern
Pilvandmetöötlus	Nettskyen
Sunniidid	Sunniislam
Singapuri lipp	Singapores flagg
Spektroskoopia	Spektroskopi
‘Alī ‘Abdullāh Sāliḩ	Ali Abdullah Saleh
Pseudoteadus	Pseudovitenskap
Paula Fernandes	Paula Fernandes
Parkuur (harrastus)	Parkour
Foo Fighters	Foo Fighters
Leutsiin	Leucin
Ionisatsioonienergia	Ioniseringsenergi
Elijah Wood	Elijah Wood
Usbekistani lipp	Usbekistans flagg
Hard Candy (Madonna album)	Hard Candy
Lucius Cornelius Sulla	Lucius Cornelius Sulla
Aatomiraadius	Atomradius
Copa del Rey	Copa del Rey
Nickelback	Nickelback
The Cranberries	The Cranberries
Shrek	Shrek
Anadõri laht	Anadyrbukta
Sigur Rós	Sigur Rós
Luka Modrić	Luka Modrić
Samsung Galaxy Gio	Samsung Galaxy Gio
Gonzalo Higuaín	Gonzalo Higuaín
Türgi jalgpallikoondis	Tyrkias herrelandslag i fotball
Tšehhi jalgpallikoondis	Tsjekkias herrelandslag i fotball
Windows 2000	Windows 2000
Porsangeri vald	Porsanger
Tiibeti budism	Tibetansk buddhisme
Nuecesi maakond	Nueces County
Jonesi maakond (Texas)	Jones County (Texas)
Karmøy vald	Karmøy
Råde vald	Råde
Jack Black	Jack Black
Rollagi vald	Rollag
Nike (ettevõte)	Nike, Inc.
Kohastumus	Tilpasning (biologi)
Williamsi maakond	Williams County (Ohio)
Sathya Sai Baba	Sathya Sai Baba
Bonneri maakond	Bonner County
Midlandi maakond	Midland County (Texas)
Aine massi jäävuse seadus	Massens bevarelse
Okanogani maakond	Okanogan County
Deatnu vald	Tana
Rakkestadi vald	Rakkestad
Nelipühilus	Pinsebevegelsen
Laramie maakond	Laramie County
Lumememm	Snømann
Nesi vald (Buskerud)	Nes (Buskerud)
Mehitamata õhusõiduk	Drone
Bø vald (Nordland)	Bø (Nordland)
Mr. Bean (seriaal)	Mr. Bean
Euroopa superkarikas	UEFA Super Cup
Kirk Hammett	Kirk Hammett
Brøndby vald	Brøndby kommune
Amélie	Den fabelaktige Amélie fra Montmartre
Bamble vald	Bamble
Nord-Aurdali vald	Nord-Aurdal
Ullensvangi vald	Ullensvang
Füürer	Fører
Roheline tee	Grønn te
Luumen	Lumen
Søndre Landi vald	Søndre Land
Autonoomia (filosoofia)	Autonomi
Skjåki vald	Skjåk
Frøya vald	Frøya (kommune)
Edgari maakond	Edgar County
Eau Claire'i maakond	Eau Claire County
Muhammad Iqbal	Muhammad Iqbal
Lincolni maakond (Washington)	Lincoln County (Washington)
Oksüdatsiooniaste	Oksidasjonstall
Folk metal	Folk metal
Webbi maakond	Webb County
Sarimõrvar	Seriemord
Iraanlased	Persere
Föderaalringkond (Venemaa)	Russlands føderale kretser
Karakalpakkia	Karakalpakstan
Mosambiigi lipp	Mosambiks flagg
Alice in Chains	Alice in Chains
Guru	Guru
Johnsoni maakond (Wyoming)	Johnson County (Wyoming)
Liider	Lederskap (generelt)
Anahita	Anahita
Deduktsioon	Deduksjon (filosofi)
Guadalupe maakond (New Mexico)	Guadalupe County (New Mexico)
Tšõngõz Ajtmatov	Tsjingiz Ajtmatov
Palm Beachi maakond	Palm Beach County
Los Alamose maakond	Los Alamos County
James Hetfield	James Hetfield
Atchisoni maakond	Atchison County (Missouri)
Lincolni maakond (Nevada)	Lincoln County (Nevada)
Washoe maakond	Washoe County
Pershingi maakond	Pershing County
Esmeralda maakond	Esmeralda County
Crooki maakond	Crook County (Oregon)
David Duchovny	David Duchovny
Granti maakond (Oregon)	Grant County (Oregon)
Eureka maakond	Eureka County
Fábio Coentrão	Fábio Coentrão
Klamathi maakond	Klamath County
Douglase maakond (Nevada)	Douglas County (Nevada)
Elko maakond	Elko County
Anaklia	Anaklia
Marioni maakond (Oregon)	Marion County (Oregon)
Curry maakond (Oregon)	Curry County (Oregon)
Kastisüsteem	Kaste
Nye maakond	Nye County
Apocalyptica	Apocalyptica
Coosi maakond (Oregon)	Coos County (Oregon)
The Cure	The Cure
Storey maakond	Storey County
Almatõ metroo	Almatys metro
Chase'i maakond (Nebraska)	Chase County (Nebraska)
Ämblikmees (film)	Spider-Man (film)
Munguba	Mungbønne
Bamiani budad	Buddha-statuene i Bamiyandalen
Korealased	Koreanere
Hardingi maakond (New Mexico)	Harding County (New Mexico)
Türkmeenid	Turkmenere
Catroni maakond	Catron County
Cole'i maakond	Cole County
Alliteratsioon	Allitterasjon
Curry maakond	Curry County (New Mexico)
Bartoni maakond	Barton County (Missouri)
Induktsioon	Induksjon (filosofi)
Silver Bow' maakond	Silver Bow County
Jared Leto	Jared Leto
Lincolni maakond (Wyoming)	Lincoln County (Wyoming)
Lancasteri maakond (Nebraska)	Lancaster County (Nebraska)
Guus Hiddink	Guus Hiddink
Jeff Davise maakond (Texas)	Jeff Davis County (Texas)
Washingtoni maakond (Oregon)	Washington County (Oregon)
Tarja Turunen	Tarja Turunen
Hutchinsoni maakond	Hutchinson County (Texas)
Tooele maakond	Tooele County
Algeciras	Algeciras
Salt Lake'i maakond	Salt Lake County
Summiti maakond (Utah)	Summit County (Utah)
Usbeki NSV	Den usbekiske sosialistiske sovjetrepublikk
Lincolni maakond (Missouri)	Lincoln County (Missouri)
San Saba maakond	San Saba County
Maa-väliste tsivilisatsioonide otsingud	SETI
Grady maakond	Grady County (Oklahoma)
Christine Lagarde	Christine Lagarde
Ethan Hawke	Ethan Hawke
Beauforti maakond (Põhja-Carolina)	Beaufort County (Nord-Carolina)
Washingtoni maakond (Mississippi)	Washington County (Mississippi)
Rahvusvaheline organisatsioon	Internasjonal organisasjon
Wentworth Miller	Wentworth Miller
Berkeley	Berkeley
Gilliami maakond	Gilliam County
Hümn	Hymne
San Sebastián de los Reyes	San Sebastián de los Reyes
Alborz	Elburzfjellene
El Clásico	El Clásico
Colfaxi maakond	Colfax County (Nebraska)
Dade'i maakond (Missouri)	Dade County (Missouri)
Keelefilosoofia	Språkfilosofi
Tomasz Kuszczak	Tomasz Kuszczak
Anderson Luís de Abreu Oliveira	Anderson
Sulamissoojus	Smeltevarme
Marbella	Marbella
Kurmanbek Bakijev	Kurmanbek Bakijev
Afganistani vapp	Afghanistans riksvåpen
Bartertehing	Byttehandel
Eisleben	Eisleben
Peter Falk	Peter Falk
Erasure	Erasure
Windows Me	Windows Me
Clarence Seedorf	Clarence Seedorf
Simon and Garfunkel	Simon & Garfunkel
Tuff	Tuff
Save the Last Dance for Me	Save the Last Dance for Me
Louis Saha	Louis Saha
Harperi maakond (Oklahoma)	Harper County (Oklahoma)
UEFA Meistrite Liiga 2011–2012	Mesterligaen 2011/2012
Ingušid	Ingusjere
Kolhoos	Kolkos
Texase maakond (Oklahoma)	Texas County (Oklahoma)
Jeffersoni maakond (Oklahoma)	Jefferson County (Oklahoma)
Jacksoni maakond (Oklahoma)	Jackson County (Oklahoma)
Sergei Bagapš	Sergej Bagapsj
Oklahoma maakond	Oklahoma County
FIFA 100	FIFA 100
Lõvi, nõid ja riidekapp	Løven, heksa og klesskapet
Puntland	Puntland
Mayhem	Mayhem
Roza Otunbajeva	Roza Otunbajeva
Ann Arbor	Ann Arbor
Pasadena	Pasadena
Lassana Diarra	Lassana Diarra
Shanghai Koostööorganisatsioon	Shanghaigruppen
Good Charlotte	Good Charlotte
Cannibal Corpse	Cannibal Corpse
Barry maakond (Missouri)	Barry County (Missouri)
Eddy maakond	Eddy County (New Mexico)
Spokane'i maakond	Spokane County
Leoben	Leoben
Gillian Anderson	Gillian Anderson
Neil Patrick Harris	Neil Patrick Harris
Kõzõlorda oblast	Qızılorda (oblast)
Ferrol	Ferrol
Bear Grylls	Bear Grylls
Jacksoni maakond (Mississippi)	Jackson County (Mississippi)
Gothic rock	Gothic rock
Washingtoni maakond (Minnesota)	Washington County (Minnesota)
Skinheadid	Skinhead
Holmesi maakond (Mississippi)	Holmes County (Mississippi)
Aktöbe oblast	Aqtöbe (oblast)
Küünikud	Kynisme
Scotti maakond (Iowa)	Scott County (Iowa)
John Bonham	John Bonham
Šõmkent	Tsjimkent
Vabadusraadio	Radio Free Europe
Charles Manson	Charles Manson
Enigma (ansambel)	Enigma (musikkprosjekt)
Aleksandr Dedjuško	Aleksandr Dedjusjko
Summiti maakond (Ohio)	Summit County (Ohio)
Seneca maakond	Seneca County (Ohio)
Montgomery maakond (Ohio)	Montgomery County (Ohio)
Ananassiekspress	Pineapple Express
Franklini maakond (Nebraska)	Franklin County (Nebraska)
Pet Shop Boys	Pet Shop Boys
Phelpsi maakond (Missouri)	Phelps County (Missouri)
Holmesi maakond (Ohio)	Holmes County (Ohio)
Progressipartei	Fremskrittspartiet
Kollanokad	Scrubs
Hemolümf	Hemolymfe
The Rasmus	The Rasmus
Képler Laveran Lima Ferreira	Pepe
Duluth	Duluth (Minnesota)
Plymouthi maakond (Iowa)	Plymouth County (Iowa)
Millsi maakond	Mills County (Iowa)
Corleone	Corleone
Quraishi hõim	Qurayš
Linni maakond (Iowa)	Linn County (Iowa)
Leelis	Alkali
Johnsoni maakond (Iowa)	Johnson County (Iowa)
Toponüüm	Toponymi
Ranua vald	Ranua
Jacksoni maakond (Iowa)	Jackson County (Iowa)
Narnia lood: lõvi, nõid ja riidekapp	Legenden om Narnia – Løven, heksa og klesskapet
Lucase maakond (Iowa)	Lucas County (Iowa)
Polki maakond (Iowa)	Polk County (Iowa)
Fall Out Boy	Fall Out Boy
Blur	Blur
Simple Plan	Simple Plan
Marilyn Manson	Marilyn Manson (band)
Lincolni maakond (Mississippi)	Lincoln County (Mississippi)
James Marsden	James Marsden
Hoodi maakond	Hood County
Itamar Franco	Itamar Franco
Pocahontase maakond (Iowa)	Pocahontas County (Iowa)
UEFA Meistrite Liiga 2012–2013	Mesterligaen 2012/2013
Iowa maakond	Iowa County (Iowa)
Woodbury maakond	Woodbury County
Louisa maakond (Iowa)	Louisa County (Iowa)
Washingtoni maakond (Idaho)	Washington County (Idaho)
Anafoor	Anafor
MacBook	MacBook
Serj Tankian	Serj Tankian
Covingtoni maakond	Covington County (Mississippi)
Ulugbek	Ulugh Beg
Theodore Dreiser	Theodore Dreiser
Bourboni maakond	Bourbon County (Kentucky)
Kane'i maakond	Kane County (Illinois)
Harrise maakond	Harris County (Georgia)
Jacksoni maakond (Georgia)	Jackson County (Georgia)
Claytoni maakond	Clayton County (Georgia)
Oslo Ülikool	Universitetet i Oslo
San Bernardino	San Bernardino (California)
Franklini maakond (Iowa)	Franklin County (Iowa)
Hiiva	Khiva
Fillmore'i maakond	Fillmore County (Minnesota)
Jacksoni maakond (Minnesota)	Jackson County (Minnesota)
Hennepini maakond	Hennepin County
Saag (film)	Saw
GLONASS	GLONASS
Wilkinsoni maakond (Georgia)	Wilkinson County (Georgia)
Fergana org	Ferganadalen
Elmore'i maakond	Elmore County (Idaho)
Kufstein	Kufstein
Narõni oblast	Naryn (oblast)
Jeffersoni maakond (Georgia)	Jefferson County (Georgia)
DeKalbi maakond (Georgia)	DeKalb County (Georgia)
Sümfooniline metal	Symfonisk metal
Geenitriiv	Genetisk drift
Cedar Rapids	Cedar Rapids
Jeffersoni maakond (Illinois)	Jefferson County (Illinois)
Baden (Austria)	Baden bei Wien
Jacksoni maakond (Illinois)	Jackson County (Illinois)
Washingtoni maakond (Illinois)	Washington County (Illinois)
Franklini maakond (Illinois)	Franklin County (Illinois)
Menardi maakond	Menard County (Illinois)
Wilkinsoni maakond	Wilkinson County (Mississippi)
Winstoni maakond	Winston County (Mississippi)
Wabashi maakond	Wabash County (Illinois)
Hindsi maakond	Hinds County
Taraz	Taraz
Fultoni maakond (Georgia)	Fulton County (Georgia)
Johnstoni maakond (Oklahoma)	Johnston County (Oklahoma)
Dade'i maakond	Dade County (Georgia)
Elevantkilpkonn	Elefantskilpadde
Dovre vald	Dovre
Andebu vald	Andebu
Mötley Crüe	Mötley Crüe
Rygge vald	Rygge
Omphale	Omfale
Aurlandi vald	Aurland
Jevnakeri vald	Jevnaker
Gausdali vald	Gausdal
Balsfjordi vald	Balsfjord
Sigdali vald	Sigdal
Pidusöök (Platon)	Symposion (Platon)
Markeri vald	Marker
Conan O'Brien	Conan O'Brien
Nordre Landi vald	Nordre Land
Pianist	Pianist
Antiikaeg	Antikken
Daron Malakian	Daron Malakian
Wilcoxi maakond	Wilcox County (Georgia)
Three Days Grace	Three Days Grace
Parlamendiliige	Parlamentsmedlem
Bryani maakond (Georgia)	Bryan County (Georgia)
Uneparalüüs	Søvnparalyse
Fordi maakond	Ford County (Illinois)
South Bend	South Bend
Michio Kaku	Michio Kaku
Järelturg	Annenhåndsmarked
Matemaatiline mudel	Matematisk modell
Atõrau	Atyrau
Isotermiline protsess	Isotermprosess
Implantaat	Implantat
Suur-Kaukasus	Store Kaukasus
Aschersleben	Aschersleben
Lincolni maakond (Idaho)	Lincoln County (Idaho)
Soojusjuhtivus	Termisk konduktivitet
Dessau	Dessau
Lee Chang-hwan	Lee Chang-hwan
Usbekistani vapp	Usbekistans riksvåpen
Reus	Reus
Molaarruumala	Molar
Compton	Compton
Viktor Tsoi	Viktor Tsoj
Sylvia Saint	Sylvia Saint
Reekviem unistusele	Requiem for a Dream
Anastassija Pavljutšenkova	Anastasija Pavljutsjenkova
Lincolni maakond (New Mexico)	Lincoln County (New Mexico)
NGC 4414	NGC 4414
San Migueli maakond (New Mexico)	San Miguel County (New Mexico)
Morrow' maakond	Morrow County (Ohio)
Jäävaheaeg	Mellomistid
Pooljuhtketas	Solid state drive
Delphi (programmeerimiskeel)	Delphi
Anathon Aall	Anathon Aall
Anathema	Anathema
McHenry maakond	McHenry County (Illinois)
Õsõkköli oblast	Ysyk-Köl (oblast)
Arda Turan	Arda Turan
Toto Cutugno	Toto Cutugno
Laholmi vald	Laholm kommune
Klosterneuburg	Klosterneuburg
Beiarni vald	Beiarn
Wolfsberg	Wolfsberg
Roosevelti maakond (New Mexico)	Roosevelt County (New Mexico)
Livingstoni maakond (New York)	Livingston County (New York)
Dramaturg	Dramaturg
Cortlandi maakond	Cortland County
Läbipaistvus	Transparens
.ni	.ni
Helsingborgi vald	Helsingborg kommune
Andijon	Andijon
Steele'i maakond	Steele County (Minnesota)
Džalalabat	Jalal-Abad
Covingtoni maakond (Alabama)	Covington County (Alabama)
Escambia maakond (Alabama)	Escambia County (Alabama)
Anatoli Pristavkin	Anatolij Pristavkin
Erisoojus	Spesifikk varmekapasitet
Gecko	Gecko
Demis Roussos	Demis Roussos
Calw	Calw
Leonding	Leonding
Iowa City	Iowa City
Gainesville	Gainesville (Florida)
Palm Springs (California)	Palm Springs
TEU	TEU
PricewaterhouseCoopers	PricewaterhouseCoopers
Etnedali vald	Etnedal
Sør-Froni vald	Sør-Fron
Anatoli Šmigun	Anatoli Šmigun
Salinas	Salinas (California)
Näärivana	Fader Frost
Bibbi maakond	Bibb County (Georgia)
Brooksi maakond	Brooks County (Georgia)
MacBook Air	MacBook Air
Baldwini maakond	Baldwin County (Georgia)
Jamali poolsaar	Jamalhalvøya
Lõuna-Kivu	Sud-Kivu
Natalie Imbruglia	Natalie Imbruglia
Petropavl	Petropavlovsk
Michel Teló	Michel Teló
Lomi vald	Lom
Lunneri vald	Lunner
Nord-Froni vald	Nord-Fron
Lesja vald	Lesja
Anatoomilised asenditähistused	Anatomiske retningsbeskrivelser
Sotsialistlik Vasakpartei	Sosialistisk Venstreparti
Hvaleri vald	Hvaler (kommune)
Vestre Slidre vald	Vestre Slidre
Läkiläki	Usjanka
Brevardi maakond	Brevard County
Rorschachi test	Rorschach-metoden
Jacksoni maakond (Florida)	Jackson County (Florida)
Orange'i maakond (Florida)	Orange County (Florida)
Angels and Airwaves	Angels & Airwaves
Leoni maakond	Leon County (Florida)
Magmakamber	Magmakammer
Montgomery maakond (Maryland)	Montgomery County (Maryland)
Baltimore'i maakond	Baltimore County
Alleghany maakond (Virginia)	Alleghany County (Virginia)
Bradfordi maakond	Bradford County (Pennsylvania)
Dauphini maakond	Dauphin County
Anne Arundeli maakond	Anne Arundel County
DeSoto maakond	DeSoto County (Florida)
Franklini maakond (Florida)	Franklin County (Florida)
2012. aasta Venemaa presidendivalimised	Presidentvalget i Russland 2012
Nassau maakond (Florida)	Nassau County (Florida)
Alachua maakond	Alachua County
Clay maakond (Florida)	Clay County (Florida)
Jeffersoni maakond (Florida)	Jefferson County (Florida)
Bay maakond (Florida)	Bay County (Florida)
Berrieni maakond (Georgia)	Berrien County (Georgia)
Hillsborough' maakond	Hillsborough County (Florida)
Franklini maakond (Alabama)	Franklin County (Alabama)
Tetoni maakond (Wyoming)	Teton County (Wyoming)
The Verve	The Verve
Sola vald	Sola
Målselvi vald	Målselv
Kvænangeni vald	Kvænangen
Türkmenbaşy	Türkmenbaşy
Kostanaj	Kostanaj
Põhja suusaalad 1964. aasta taliolümpiamängudel	Nordiske grener under Vinter-OL 1964
Lindesnesi vald	Lindesnes
Raphaël Varane	Raphaël Varane
Browni maakond (Lõuna-Dakota)	Brown County (Sør-Dakota)
Dewey maakond	Dewey County (Sør-Dakota)
Slaven Bilić	Slaven Bilić
Harry Harrison	Harry Harrison
Oberhof	Oberhof
Sioux City	Sioux City
Deueli maakond	Deuel County (Sør-Dakota)
Hughesi maakond (Oklahoma)	Hughes County (Oklahoma)
Bindali vald	Bindal
Wagoneri maakond	Wagoner County
Tulsa maakond	Tulsa County
Washingtoni maakond (Oklahoma)	Washington County (Oklahoma)
Washingtoni maakond (Ohio)	Washington County (Ohio)
Hidalgo maakond (New Mexico)	Hidalgo County (New Mexico)
Luna maakond	Luna County
Nemaha maakond (Nebraska)	Nemaha County (Nebraska)
Greeley maakond	Greeley County (Nebraska)
Fanatism	Fanatisme
Otero maakond	Otero County (New Mexico)
Seitse maailmaimet	Verdens syv underverker
Ripley maakond (Missouri)	Ripley County (Missouri)
Andaluusia hobune	Andalusier
INXS	INXS
DHL	DHL
Antananarivo provints	Antananarivo (provins)
Kanggye	Kanggye
Hyesan	Hyesan
Haley Joel Osment	Haley Joel Osment
Newtoni maakond (Missouri)	Newton County (Missouri)
Askar Akajev	Askar Akajev
Boolero	Bolero
Meigsi maakond	Meigs County (Ohio)
Jeffersoni maakond (Nebraska)	Jefferson County (Nebraska)
Jeffersoni maakond (Missouri)	Jefferson County (Missouri)
Mississippi maakond (Missouri)	Mississippi County (Missouri)
Jasperi maakond (Missouri)	Jasper County (Missouri)
Highlandi maakond	Highland County (Ohio)
Lickingi maakond	Licking County
Rankini maakond	Rankin County
Vågani vald	Vågan
Pontotoci maakond (Mississippi)	Pontotoc County (Mississippi)
Quitmani maakond	Quitman County (Mississippi)
Panola maakond	Panola County (Mississippi)
Yellowstone'i maakond	Yellowstone County
Taylori maakond (Texas)	Taylor County (Texas)
Jacksoni maakond (Tennessee)	Jackson County (Tennessee)
Lincolni maakond (Tennessee)	Lincoln County (Tennessee)
Lincolni maakond (Montana)	Lincoln County (Montana)
Michael Haydn	Michael Haydn
Franklini maakond (Missouri)	Franklin County (Missouri)
Holti maakond (Missouri)	Holt County (Missouri)
Giardini-Naxos	Giardini Naxos
Rice'i maakond	Rice County (Minnesota)
Lincolni maakond (Minnesota)	Lincoln County (Minnesota)
Hofgeismar	Hofgeismar
Eckernförde	Eckernförde
Rendsburg	Rendsburg
Simpsoni maakond (Mississippi)	Simpson County (Mississippi)
Malepoks	Sjakkboksing
Otseinvesteering	Utenlandske direkteinvesteringer
Doori maakond	Door County
Tüütu mees	Den brysomme mannen
Arnstadt	Arnstadt
Bad Ems	Bad Ems
Dakota maakond (Nebraska)	Dakota County (Nebraska)
Douglase maakond (Nebraska)	Douglas County (Nebraska)
Dewey maakond (Oklahoma)	Dewey County (Oklahoma)
Coali maakond	Coal County
Anders Aukland	Anders Aukland
Deer Lodge'i maakond	Deer Lodge County
Custeri maakond (Montana)	Custer County (Montana)
Craigi maakond	Craig County (Oklahoma)
Caldey Island	Caldey Island
Jeffersoni maakond (Mississippi)	Jefferson County (Mississippi)
Pendletoni maakond (Lääne-Virginia)	Pendleton County (Vest-Virginia)
Jeffersoni maakond (Lääne-Virginia)	Jefferson County (Vest-Virginia)
Berkeley maakond (Lääne-Virginia)	Berkeley County (Vest-Virginia)
Sangamoni maakond	Sangamon County
Anders Gløersen	Anders Gløersen
Anders Gärderud	Anders Gärderud
Aroostooki maakond	Aroostook County
Lakes	Lakes (Sør-Sudan)
Powelli maakond	Powell County (Kentucky)
Emmeti maakond	Emmet County (Michigan)
Penningtoni maakond	Pennington County (Minnesota)
Ramsey maakond	Ramsey County (Minnesota)
Robert Smith (muusik)	Robert Smith (musiker)
Winona maakond	Winona County
Harti maakond (Georgia)	Hart County (Georgia)
Anders Wejryd	Anders Wejryd
Lincolni maakond (Georgia)	Lincoln County (Georgia)
Stewarti maakond (Georgia)	Stewart County (Georgia)
Laurensi maakond (Georgia)	Laurens County (Georgia)
Alexanderi maakond	Alexander County (Nord-Carolina)
Kitee	Kitee
Bryani maakond	Bryan County (Oklahoma)
Ashe'i maakond	Ashe County
Subcomandante Marcos	Subcomandante Marcos
Guano Apes	Guano Apes
Vulkaaniline pomm	Vulkansk bombe
Hutchinsoni maakond (Lõuna-Dakota)	Hutchinson County (Sør-Dakota)
Wilkesi maakond	Wilkes County (Georgia)
Sunani rahvusvaheline lennujaam	Sunan internasjonale lufthavn
Mahutavus (laevandus)	Tonnasje
Steve Zahn	Steve Zahn
Hardini maakond (Kentucky)	Hardin County (Kentucky)
Termiz	Termez
Static-X	Static-X
Harti maakond (Kentucky)	Hart County (Kentucky)
Franklini maakond (Kentucky)	Franklin County (Kentucky)
Belli maakond (Kentucky)	Bell County (Kentucky)
Elberti maakond	Elbert County (Georgia)
Oconee maakond	Oconee County (Georgia)
Finn	Finnjolle
Rio Blanco maakond	Rio Blanco County
Grady maakond (Georgia)	Grady County (Georgia)
Antímilos	Andimilos
Antípaxoi	Andipaxos
Filmimuusika	Filmmusikk
Burundi linnade loend	Liste over byer i Burundi
Madagaskari linnade loend	Liste over byer på Madagaskar
De Haan	De Haan
Middelkerke	Middelkerke
Ricardo Pereira	Ricardo Pereira
Claiborne'i maakond (Mississippi)	Claiborne County (Mississippi)
Hardingi maakond	Harding County (Sør-Dakota)
São Nicolau	São Nicolau
Estados	Estadosøya
Brava	Brava
Santa Luzia saar	Santa Luzia (Kapp Verde)
Colorado lipp	Colorados flagg
Maio	Maio
Huddinge vald	Huddinge kommune
Ekerö vald	Ekerö kommune
Wapakoneta	Wapakoneta
Broomfield	Broomfield County
Mürzzuschlag	Mürzzuschlag
Marselisborgi loss	Marselisborg slott
Võõrsõna	Fremmedord
Kvalsundi vald	Kvalsund
Gilmeri maakond	Gilmer County (Georgia)
Täby vald	Täby kommune
Jeff Davise maakond	Jeff Davis County (Georgia)
James Avery	James Avery
Fannini maakond (Georgia)	Fannin County (Georgia)
Forsythi maakond	Forsyth County (Georgia)
Krüosfäär	Kryosfæren
.nl	.nl
Grays Harbori maakond	Grays Harbor County
André Phillips	Andre Phillips
Áššu	Áššu
Ḩizb at-Taḩrīr	Hizb ut-Tahrir
Bardu vald	Bardu
Min Áigi	Min Áigi
Alleni maakond (Indiana)	Allen County (Indiana)
Walesi rahvusassamblee	Nasjonalforsamlingen for Wales
Barbouri maakond	Barbour County (Vest-Virginia)
Duvali maakond	Duval County (Florida)
Hampshire'i maakond	Hampshire County (Vest-Virginia)
Keskpartei (Norra)	Senterpartiet
Madisoni maakond (Alabama)	Madison County (Alabama)
Dubuque	Dubuque
Charles Fambrough	Charles Fambrough
Ingli süda	Angel Heart
Gällivare vald	Gällivare kommune
Roskilde festival	Roskilde-festivalen
Lawrence	Lawrence (Kansas)
Värmdö vald	Värmdö kommune
Tysfjordi vald	Tysfjord
776 eKr	776 f.Kr.
Kolonelleitnant	Oberstløytnant
Kåfjordi vald	Kåfjord
Lyngeni vald	Lyngen
Nordreisa vald	Nordreisa
Worcesteri maakond	Worcester County (Maryland)
Cameroni maakond (Pennsylvania)	Cameron County (Pennsylvania)
Jeffersoni maakond (Pennsylvania)	Jefferson County (Pennsylvania)
Brunswicki maakond (Virginia)	Brunswick County (Virginia)
Foresti maakond (Pennsylvania)	Forest County (Pennsylvania)
Tokarev TT-33	TT-33
Elki maakond	Elk County (Pennsylvania)
Ādilābād	Adilabad
Immanuel Wallerstein	Immanuel Wallerstein
Westmorelandi maakond (Virginia)	Westmoreland County (Virginia)
Okaloosa maakond	Okaloosa County
Franklini maakond (Idaho)	Franklin County (Idaho)
Santa Rosa maakond	Santa Rosa County
Jeffersoni maakond (Idaho)	Jefferson County (Idaho)
Volusia maakond	Volusia County
Pinellase maakond	Pinellas County
Tazewelli maakond	Tazewell County (Illinois)
Filipp Kirkorov	Filipp Kirkorov
Browardi maakond	Broward County
Elmore'i maakond (Alabama)	Elmore County (Alabama)
Hallasan	Hallafjellet
EXO	Exo
Gelnhausen	Gelnhausen
Walworthi maakond (Lõuna-Dakota)	Walworth County (Sør-Dakota)
Jeffersoni maakond (Tennessee)	Jefferson County (Tennessee)
Bring Me the Horizon	Bring Me the Horizon
Bradley maakond	Bradley County (Tennessee)
2009. aasta laskesuusatamise maailmameistrivõistlused	VM i skiskyting 2009
Nagai staadion	Nagai Stadium
STX Europe	Vard Group
Sapporo Dome	Sapporo Dome
Tuulepealsed saared (Aafrika)	Barlavento
Browni maakond (Wisconsin)	Brown County (Wisconsin)
Dunni maakond	Dunn County (Wisconsin)
Russki saar	Russkijøya
Peeter Suure laht	Peter den stores bukt
Ashlandi maakond	Ashland County (Wisconsin)
Nixoni doktriin	Nixon-doktrinen
Lincolni maakond (Wisconsin)	Lincoln County (Wisconsin)
Claiborne'i maakond	Claiborne County (Tennessee)
Crocketti maakond (Tennessee)	Crockett County (Tennessee)
Washingtoni maakond (Tennessee)	Washington County (Tennessee)
Berkeley maakond	Berkeley County (Sør-Carolina)
Botetourti maakond	Botetourt County
Lincolni maakond (Lääne-Virginia)	Lincoln County (Vest-Virginia)
Upshuri maakond (Lääne-Virginia)	Upshur County (Vest-Virginia)
Craigi maakond (Virginia)	Craig County (Virginia)
Perkinsi maakond (Lõuna-Dakota)	Perkins County (Sør-Dakota)
Shannoni maakond	Shannon County (Sør-Dakota)
Lincolni maakond (Lõuna-Dakota)	Lincoln County (Sør-Dakota)
Penningtoni maakond (Lõuna-Dakota)	Pennington County (Sør-Dakota)
Robertsi maakond	Roberts County (Sør-Dakota)
Turneri maakond	Turner County (Sør-Dakota)
Stanley maakond	Stanley County
İstanbuli Galatasaray	Galatasaray
Kuundumine	Månelanding
Bohai väin	Bohaibukten
Kareni osariik	Karen (stat)
Landeri maakond	Lander County
Wheeleri maakond (Oregon)	Wheeler County (Oregon)
Tillamooki maakond	Tillamook County
2014. aasta Aasia mängud	Asialekene 2014
Morrow' maakond (Oregon)	Morrow County (Oregon)
Humboldti maakond (Nevada)	Humboldt County (Nevada)
Wasco maakond	Wasco County
Polki maakond (Oregon)	Polk County (Oregon)
White Pine'i maakond	White Pine County
Lane'i maakond	Lane County (Oregon)
Lapill	Lapilli
Windows 3.1x	Windows 3.1x
Kaunitar ja koletis	Skjønnheten og udyret
Klassikaline filoloogia	Klassisk filologi
Mindelo	Mindelo
Tioga maakond (Pennsylvania)	Tioga County (Pennsylvania)
