Yn Affrick	Afrika
Ronney:Çhengaghyn rere çheer	Kategori:Språk etter verdensdel
Ronney:Çhengaghyn ny Polynn	Kategori:Språk i Polen
Ronney:Cultoor ny Polynn	Kategori:Polsk kultur
Ronney:Scannaneyn veih'n vlein 1955	Kategori:Filmer fra 1955
Ronney:Oaylleeaght sheshoil	Kategori:Samfunnsvitenskap
Ronney:Yn Velaroosh	Kategori:Hviterussland
Ronney:Alberta	Kategori:Alberta
Ronney:Yn Cholombey Ghoaldagh	Kategori:Britisk Columbia
Ronney:Ontario	Kategori:Ontario
Ronney:Nalbin Noa	Kategori:Nova Scotia
Ronney:New Brunswick	Kategori:New Brunswick
Ronney:Yukon	Kategori:Yukon
Ronney:Ellan y Phrinse Edard	Kategori:Prince Edward Island
Ronney:Manitoba	Kategori:Manitoba
Ronney:Massachusetts	Kategori:Massachusetts
Ronney:Ruggyryn 'sy vlein 1960	Kategori:Fødsler i 1960
Ronney:961	Kategori:961
Ronney:Ruggyryn 'sy vlein 961	Kategori:Fødsler i 961
Ronney:Ruggyryn 'sy vlein 1022	Kategori:Fødsler i 1022
Ronney:1031	Kategori:1031
Ronney:Coondaeghyn ayns Pobblaght Nerin	Kategori:Irlands grevskap
Ronney:Çhengaghyn ny Danvarg	Kategori:Språk i Danmark
Ronney:Çhengaghyn ny h-Estaan	Kategori:Språk i Estland
Ronney:Çhengaghyn ny Germaan	Kategori:Språk i Tyskland
Ronney:Çhengaghyn ny h-Austeyr	Kategori:Språk i Østerrike
Ronney:Ynsagh 'sy Ghermaan	Kategori:Utdanning i Tyskland
Ronney:1079	Kategori:1079
Ronney:1093	Kategori:1093
Ronney:1095	Kategori:1095
Ronney:1100	Kategori:1100
Ronney:Çhengaghyn ny h-Aishey	Kategori:Språk i Asia
Ronney:Çhengaghyn ny Belaroosh	Kategori:Språk i Hviterussland
Ronney:Ardjyn	Kategori:Regioner
Ronney:Thalloo yn Eeast as Labrador	Kategori:Newfoundland og Labrador
Ronney:Çheeraghyn ny h-Affrick	Kategori:Land i Afrika
Ronney:Baaseyn 'sy vlein 1998	Kategori:Dødsfall i 1998
Ronney:Ynsagh rere çheer	Kategori:Utdanning etter område
Ronney:Buill chummaltagh ayns Steat São Paulo	Kategori:Kommuner i São Paulo
Ronney:1186	Kategori:1186
Ronney:Baaseyn 'sy vlein 1186	Kategori:Dødsfall i 1186
Ronney:1200	Kategori:1200
Clowan:Queiggaghyn as thallooyn ny Canadey	Mal:Canadas provinser og territorier
Ronney:Ruggyryn 'sy vlein 1951	Kategori:Fødsler i 1951
Ronney:Cummaghyn thallooin	Kategori:Landformer
Ronney:Scannaneyn veih'n vlein 1941	Kategori:Filmer fra 1941
Ronney:Baaseyn 'sy vlein 1257	Kategori:Dødsfall i 1257
Ronney:Baaseyn 'sy vlein 1881	Kategori:Dødsfall i 1881
Ronney:Baaseyn 'sy vlein 1882	Kategori:Dødsfall i 1882
Ronney:Groningen (caayr)	Kategori:Groningen by
Ronney:1265	Kategori:1265
Ronney:Ruggyryn 'sy vlein 1265	Kategori:Fødsler i 1265
Ronney:1266	Kategori:1266
Ronney:Çheer-oaylleeaght ny Cashteel as León	Kategori:Castilla y Leóns geografi
Ronney:1940yn	Kategori:Hendelser i 1940-årene
Ronney:1900yn	Kategori:Hendelser i 1900-årene
Ronney:1910yn	Kategori:Hendelser i 1910-årene
Ronney:1301	Kategori:1301
Ronney:1920yn	Kategori:Hendelser i 1920-årene
Ronney:1930yn	Kategori:Hendelser i 1930-årene
Ronney:1950yn	Kategori:Hendelser i 1950-årene
Ronney:1960yn	Kategori:Hendelser i 1960-årene
Ronney:1303	Kategori:1303
Ronney:1980yn	Kategori:Hendelser i 1980-årene
Ronney:1990yn	Kategori:Hendelser i 1990-årene
Ronney:1305	Kategori:1305
Ronney:2000yn	Kategori:Hendelser i 2000-årene
Ronney:2010yn	Kategori:Hendelser i 2010-årene
Ronney:1306	Kategori:1306
Ronney:1307	Kategori:1307
Ronney:1308	Kategori:1308
Ronney:1309	Kategori:1309
Ronney:1311	Kategori:1311
Ronney:1313	Kategori:1313
Ronney:1314	Kategori:1314
Ronney:1366	Kategori:1366
Clowan:Ymmydeyr ko-1	Mal:Bruker ko-1
Clowan:Ymmydeyr cs	Mal:User cs
Ronney:1528	Kategori:1528
Clowan:Ymmydeyr ru-2	Mal:Bruker ru-2
Clowan:Ymmydeyr es-3	Mal:Bruker es-3
Ronney:Mart (planaid)	Kategori:Mars
Ronney:Mooir-chaslyssaght	Kategori:Hydrografi
Ronney:1504	Kategori:1504
Ronney:Ruggyryn 'sy vlein 1451	Kategori:Fødsler i 1451
Ronney:Kidrys	Kategori:Sitrusfrukt
Ronney:1471	Kategori:1471
Ronney:Ruggyryn 'sy vlein 1471	Kategori:Fødsler i 1471
Ronney:1473	Kategori:1473
Ronney:1475	Kategori:1475
Ronney:Ruggyryn 'sy vlein 1475	Kategori:Fødsler i 1475
Ronney:Aghteyryn Yernagh	Kategori:Irske skuespillere
Ronney:Ymmydeyr pt-N	Kategori:Bruker pt-N
Ronney:1490	Kategori:1490
Ronney:1491	Kategori:1491
Ronney:Ymmydeyr ru	Kategori:Bruker ru
Ronney:Ymmydeyr ru-2	Kategori:Bruker ru-2
Ronney:Ymmydeyr ru-3	Kategori:Bruker ru-3
Ronney:Ymmydeyr ru-4	Kategori:Bruker ru-4
Ronney:Baaseyn 'sy vlein 1504	Kategori:Dødsfall i 1504
Ronney:Nordland	Kategori:Nordland
Ronney:Ymmydeyr sk-1	Kategori:Bruker sk-1
Ronney:Ymmydeyr sq	Kategori:Bruker sq
Ronney:Ymmydeyr sq-1	Kategori:Bruker sq-1
Ronney:Ruggyryn 'sy vlein 1533	Kategori:Fødsler i 1533
Ronney:Ymmydeyr sr	Kategori:Bruker sr
Ronney:Ymmydeyr sr-1	Kategori:Bruker sr-1
Ronney:1538	Kategori:1538
Ronney:Ymmydeyr sv-1	Kategori:Bruker sv-1
Ronney:Ymmydeyr sv-3	Kategori:Bruker sv-3
Ronney:Ymmydeyr sv-N	Kategori:Bruker sv-N
Ronney:Queiggey ny Laplann	Kategori:Lapplands län
Ronney:1557	Kategori:1557
Ronney:Baaseyn 'sy vlein 1557	Kategori:Dødsfall i 1557
Ronney:1593	Kategori:1593
Ronney:1600	Kategori:1600
Ronney:1603	Kategori:1603
Ronney:Baaseyn 'sy vlein 1603	Kategori:Dødsfall i 1603
Ronney:1608	Kategori:1608
Ronney:1621	Kategori:1621
Ronney:1632	Kategori:1632
Ronney:Ymmydeyr uk-2	Kategori:Bruker uk-2
Ronney:Ymmydeyr uk-4	Kategori:Bruker uk-4
Ronney:1639	Kategori:1639
Ronney:Baaseyn 'sy vlein 1639	Kategori:Dødsfall i 1639
Ronney:1675	Kategori:1675
Ronney:Baaseyn 'sy vlein 1675	Kategori:Dødsfall i 1675
Ronney:Ruggyryn 'sy vlein 1678	Kategori:Fødsler i 1678
Ronney:1685	Kategori:1685
Ronney:1695	Kategori:1695
Ronney:Baaseyn 'sy vlein 1695	Kategori:Dødsfall i 1695
Ronney:1697	Kategori:1697
Ronney:Ruggyryn 'sy vlein 1701	Kategori:Fødsler i 1701
Ronney:Mannin	Kategori:Man
Ronney:1723	Kategori:1723
Ronney:Shandong	Kategori:Shandong
Ronney:Yunnan	Kategori:Yunnan
Ronney:Zhejiang	Kategori:Zhejiang
Ronney:Qinghai	Kategori:Qinghai
Ronney:Henan	Kategori:Henan
Ronney:Hunan	Kategori:Hunan
Clowan:Barnaghyn	Mal:Mellomrom
Ronney:68	Kategori:68
Ronney:Scannaneyn veih'n vlein 1981	Kategori:Filmer fra 1981
Ronney:Dooieyn anveaghit IUCN Red List	Kategori:Sårbare arter på IUCNs rødliste
Clowan:Lang	Mal:Språk
Ronney:Baaseyn 'sy vlein 1969	Kategori:Dødsfall i 1969
Ronney:Ellyneyryn rere ashoonaght	Kategori:Kunstnere etter nasjonalitet
Ronney:1920yn ayns Nerin	Kategori:1920-årene i Irland
Ronney:Ruggyryn 'sy vlein 1881	Kategori:Fødsler i 1881
Ronney:Ellynyn rere çheer	Kategori:Kunst etter område
Ronney:Madrid	Kategori:Madrid
Ronney:Keyllyssyn ny h-Oarpey	Kategori:Sund i Europa
Ronney:Screeudeyryn Sheenagh	Kategori:Kinesiske forfattere
Ronney:München	Kategori:München
Ronney:Arraneyderyn Yernagh	Kategori:Irske sangere
Ronney:Çhengaghyn ny Belg	Kategori:Språk i Belgia
Ronney:Baljaghtyn 'sy Ghermaan	Kategori:Kommuner i Tyskland
Ronney:Ruggyryn 'sy vlein 1944	Kategori:Fødsler i 1944
Clowan:Ymmydeyr ro-1	Mal:Bruker ro-1
Ronney:Ruggyryn 'sy vlein 1932	Kategori:Fødsler i 1932
Ronney:Ruggyryn 'sy vlein 1934	Kategori:Fødsler i 1934
Ronney:Ruggyryn 'sy vlein 1935	Kategori:Fødsler i 1935
Ronney:Biljyn	Kategori:Tresorter
Ronney:Sleih rere keird as ashoonaght	Kategori:Beskjeftigelser etter nasjonalitet
Ronney:Ruggyryn 'sy 10oo eash	Kategori:Fødsler på 900-tallet
Ronney:Ruggyryn 'sy 11d eash	Kategori:Fødsler på 1000-tallet
Ronney:Ruggyryn 'sy vlein 1031	Kategori:Fødsler i 1031
Ronney:Sheshoaylleeaght	Kategori:Sosiologi
Ronney:Ruggyryn 'sy 13oo eash	Kategori:Fødsler på 1200-tallet
Ronney:Ruggyryn 'sy vlein 1491	Kategori:Fødsler i 1491
Ronney:Ruggyryn 'sy vlein 1593	Kategori:Fødsler i 1593
Ronney:Ruggyryn 'sy vlein 1600	Kategori:Fødsler i 1600
Ronney:Ruggyryn 'sy vlein 1621	Kategori:Fødsler i 1621
Ronney:Ruggyryn 'sy vlein 1632	Kategori:Fødsler i 1632
Ronney:Ruggyryn 'sy vlein 1685	Kategori:Fødsler i 1685
Ronney:Ruggyryn 'sy vlein 1723	Kategori:Fødsler i 1723
Ronney:Ruggyryn 'sy vlein 1732	Kategori:Fødsler i 1732
Ronney:Ruggyryn 'sy vlein 1735	Kategori:Fødsler i 1735
Ronney:Ruggyryn 'sy vlein 1743	Kategori:Fødsler i 1743
Ronney:Ruggyryn 'sy vlein 1750	Kategori:Fødsler i 1750
Ronney:Ruggyryn 'sy vlein 1751	Kategori:Fødsler i 1751
Ronney:Ruggyryn 'sy vlein 1756	Kategori:Fødsler i 1756
Ronney:Ruggyryn 'sy vlein 1757	Kategori:Fødsler i 1757
Ronney:Ruggyryn 'sy vlein 1758	Kategori:Fødsler i 1758
Ronney:Ruggyryn 'sy vlein 1767	Kategori:Fødsler i 1767
Ronney:Ruggyryn 'sy vlein 1770	Kategori:Fødsler i 1770
Ronney:Ruggyryn 'sy vlein 1773	Kategori:Fødsler i 1773
Ronney:Ruggyryn 'sy vlein 1775	Kategori:Fødsler i 1775
Ronney:Ruggyryn 'sy vlein 1782	Kategori:Fødsler i 1782
Ronney:Ruggyryn 'sy vlein 1784	Kategori:Fødsler i 1784
Ronney:Ruggyryn 'sy vlein 1790	Kategori:Fødsler i 1790
Ronney:Ruggyryn 'sy vlein 1791	Kategori:Fødsler i 1791
Ronney:Ruggyryn 'sy vlein 1795	Kategori:Fødsler i 1795
Ronney:Ruggyryn 'sy vlein 1799	Kategori:Fødsler i 1799
Ronney:Ruggyryn 'sy vlein 1800	Kategori:Fødsler i 1800
Ronney:Ruggyryn 'sy vlein 1804	Kategori:Fødsler i 1804
Ronney:Ruggyryn 'sy vlein 1807	Kategori:Fødsler i 1807
Ronney:Ruggyryn 'sy vlein 1808	Kategori:Fødsler i 1808
Ronney:Ruggyryn 'sy vlein 1809	Kategori:Fødsler i 1809
Ronney:Ruggyryn 'sy vlein 1810	Kategori:Fødsler i 1810
Ronney:Ruggyryn 'sy vlein 1813	Kategori:Fødsler i 1813
Ronney:Ruggyryn 'sy vlein 1815	Kategori:Fødsler i 1815
Ronney:Ruggyryn 'sy vlein 1818	Kategori:Fødsler i 1818
Ronney:Ruggyryn 'sy vlein 1819	Kategori:Fødsler i 1819
Ronney:Ruggyryn 'sy vlein 1820	Kategori:Fødsler i 1820
Ronney:Ruggyryn 'sy vlein 1822	Kategori:Fødsler i 1822
Ronney:Ruggyryn 'sy vlein 1824	Kategori:Fødsler i 1824
Ronney:Ruggyryn 'sy vlein 1831	Kategori:Fødsler i 1831
Ronney:Ruggyryn 'sy vlein 1832	Kategori:Fødsler i 1832
Ronney:Ruggyryn 'sy vlein 1833	Kategori:Fødsler i 1833
Ronney:Ruggyryn 'sy vlein 1840	Kategori:Fødsler i 1840
Ronney:Ruggyryn 'sy vlein 1841	Kategori:Fødsler i 1841
Ronney:Ruggyryn 'sy vlein 1843	Kategori:Fødsler i 1843
Ronney:Ruggyryn 'sy vlein 1848	Kategori:Fødsler i 1848
Ronney:Ruggyryn 'sy vlein 1852	Kategori:Fødsler i 1852
Ronney:Ruggyryn 'sy vlein 1853	Kategori:Fødsler i 1853
Ronney:Ruggyryn 'sy vlein 1855	Kategori:Fødsler i 1855
Ronney:Ruggyryn 'sy vlein 1857	Kategori:Fødsler i 1857
Ronney:Ruggyryn 'sy vlein 1858	Kategori:Fødsler i 1858
Ronney:Ruggyryn 'sy vlein 1859	Kategori:Fødsler i 1859
Ronney:Ruggyryn 'sy vlein 1860	Kategori:Fødsler i 1860
Ronney:Ruggyryn 'sy vlein 1865	Kategori:Fødsler i 1865
Ronney:Ruggyryn 'sy vlein 1870	Kategori:Fødsler i 1870
Ronney:Ruggyryn 'sy vlein 1872	Kategori:Fødsler i 1872
Ronney:Ruggyryn 'sy vlein 1873	Kategori:Fødsler i 1873
Ronney:Ruggyryn 'sy vlein 1874	Kategori:Fødsler i 1874
Ronney:Ruggyryn 'sy vlein 1877	Kategori:Fødsler i 1877
Ronney:Ruggyryn 'sy vlein 1882	Kategori:Fødsler i 1882
Ronney:Ruggyryn 'sy vlein 1883	Kategori:Fødsler i 1883
Ronney:Ruggyryn 'sy vlein 1884	Kategori:Fødsler i 1884
Ronney:Ruggyryn 'sy vlein 1885	Kategori:Fødsler i 1885
Ronney:Ruggyryn 'sy vlein 1887	Kategori:Fødsler i 1887
Ronney:Ruggyryn 'sy vlein 1889	Kategori:Fødsler i 1889
Ronney:Ruggyryn 'sy vlein 1890	Kategori:Fødsler i 1890
Ronney:Ruggyryn 'sy vlein 1891	Kategori:Fødsler i 1891
Ronney:Ruggyryn 'sy vlein 1892	Kategori:Fødsler i 1892
Ronney:Ruggyryn 'sy vlein 1894	Kategori:Fødsler i 1894
Ronney:Ruggyryn 'sy vlein 1896	Kategori:Fødsler i 1896
Ronney:Ruggyryn 'sy vlein 1905	Kategori:Fødsler i 1905
Ronney:Ruggyryn 'sy vlein 1907	Kategori:Fødsler i 1907
Ronney:Ruggyryn 'sy vlein 1908	Kategori:Fødsler i 1908
Ronney:Ruggyryn 'sy vlein 1912	Kategori:Fødsler i 1912
Ronney:Ruggyryn 'sy vlein 1913	Kategori:Fødsler i 1913
Ronney:Ruggyryn 'sy vlein 1917	Kategori:Fødsler i 1917
Ronney:Ruggyryn 'sy vlein 1918	Kategori:Fødsler i 1918
Ronney:650	Kategori:650
Ronney:Ruggyryn 'sy vlein 1919	Kategori:Fødsler i 1919
Ronney:Ruggyryn 'sy vlein 1922	Kategori:Fødsler i 1922
Ronney:Ruggyryn 'sy vlein 1923	Kategori:Fødsler i 1923
Ronney:Ruggyryn 'sy vlein 1928	Kategori:Fødsler i 1928
Ronney:Ruggyryn 'sy vlein 1942	Kategori:Fødsler i 1942
Ronney:Ruggyryn 'sy vlein 1943	Kategori:Fødsler i 1943
Ronney:Ruggyryn 'sy vlein 1945	Kategori:Fødsler i 1945
Ronney:Ruggyryn 'sy vlein 1947	Kategori:Fødsler i 1947
Ronney:Ruggyryn 'sy vlein 1949	Kategori:Fødsler i 1949
Ronney:Ruggyryn 'sy vlein 1952	Kategori:Fødsler i 1952
Ronney:Ruggyryn 'sy vlein 1953	Kategori:Fødsler i 1953
Ronney:Ruggyryn 'sy vlein 1958	Kategori:Fødsler i 1958
Ronney:Ruggyryn 'sy vlein 1959	Kategori:Fødsler i 1959
Ronney:Ruggyryn 'sy vlein 1961	Kategori:Fødsler i 1961
Ronney:Ruggyryn 'sy vlein 1962	Kategori:Fødsler i 1962
Ronney:Ruggyryn 'sy vlein 1969	Kategori:Fødsler i 1969
Ronney:Ruggyryn 'sy vlein 1971	Kategori:Fødsler i 1971
Ronney:Ruggyryn 'sy vlein 1972	Kategori:Fødsler i 1972
Ronney:Ruggyryn 'sy vlein 1973	Kategori:Fødsler i 1973
Ronney:Ruggyryn 'sy vlein 1975	Kategori:Fødsler i 1975
Ronney:Ruggyryn 'sy vlein 1978	Kategori:Fødsler i 1978
Ronney:Ruggyryn 'sy vlein 1979	Kategori:Fødsler i 1979
Ronney:658	Kategori:658
Ronney:Ruggyryn 'sy vlein 1980	Kategori:Fødsler i 1980
Ronney:Ruggyryn 'sy vlein 1981	Kategori:Fødsler i 1981
Ronney:Ruggyryn 'sy vlein 1982	Kategori:Fødsler i 1982
Ronney:Ruggyryn 'sy vlein 1985	Kategori:Fødsler i 1985
Ronney:Ruggyryn 'sy vlein 1986	Kategori:Fødsler i 1986
Ronney:Ruggyryn 'sy vlein 1987	Kategori:Fødsler i 1987
Ronney:Ruggyryn 'sy vlein 1988	Kategori:Fødsler i 1988
Ronney:Ruggyryn 'sy vlein 1989	Kategori:Fødsler i 1989
Ronney:Ruggyryn 'sy vlein 1991	Kategori:Fødsler i 1991
Ronney:Ruggyryn 'sy vlein 1999	Kategori:Fødsler i 1999
Ronney:1797	Kategori:1797
Ronney:1584	Kategori:1584
Ronney:1321	Kategori:1321
Ronney:Caayryn ayns California	Kategori:Byer i California
Ronney:Bodjallyn	Kategori:Skyer
Ronney:Lantanoidyn	Kategori:Lantanoider
Clowan:Nowrap end	Mal:Nowrap end
Ronney:1030yn	Kategori:Hendelser i 1030-årene
Ronney:1020yn	Kategori:Hendelser i 1020-årene
Ronney:1520yn	Kategori:Hendelser i 1520-årene
Ronney:1090yn	Kategori:Hendelser i 1090-årene
Ronney:1560yn	Kategori:Hendelser i 1560-årene
Ronney:Politickaght Nerin	Kategori:Irsk politikk
Ronney:1820yn	Kategori:Hendelser i 1820-årene
Ronney:1670yn	Kategori:Hendelser i 1670-årene
Ronney:1770yn	Kategori:Hendelser i 1770-årene
Ronney:1760yn	Kategori:Hendelser i 1760-årene
Ronney:1710yn	Kategori:Hendelser i 1710-årene
Ronney:1650yn	Kategori:Hendelser i 1650-årene
Ronney:1630yn	Kategori:Hendelser i 1630-årene
Ronney:1810yn	Kategori:Hendelser i 1810-årene
Ronney:1530yn	Kategori:Hendelser i 1530-årene
Ronney:1490yn	Kategori:Hendelser i 1490-årene
Ronney:1850yn	Kategori:Hendelser i 1850-årene
Ronney:11d eash	Kategori:1000-tallet
Ronney:17oo eash	Kategori:1600-tallet
Ronney:1880yn	Kategori:Hendelser i 1880-årene
Ronney:1720yn	Kategori:Hendelser i 1720-årene
Ronney:1750yn	Kategori:Hendelser i 1750-årene
Ronney:1870yn	Kategori:Hendelser i 1870-årene
Ronney:1780yn	Kategori:Hendelser i 1780-årene
Ronney:1860yn	Kategori:Hendelser i 1860-årene
Ronney:1790yn	Kategori:Hendelser i 1790-årene
Ronney:1730yn	Kategori:Hendelser i 1730-årene
Ronney:Ny Celtiee	Kategori:Kelterne
Clowan:Ymmydeyr ca	Mal:Bruker ca
Ronney:1250yn	Kategori:Hendelser i 1250-årene
Ronney:1800yn	Kategori:Hendelser i 1800-årene
Ronney:1450yn	Kategori:Hendelser i 1450-årene
Ronney:1470yn	Kategori:Hendelser i 1470-årene
Ronney:999	Kategori:999
Ronney:1580yn	Kategori:Hendelser i 1580-årene
Ronney:1180yn	Kategori:Hendelser i 1180-årene
Ronney:1700yn	Kategori:Hendelser i 1700-årene
Ronney:1500yn	Kategori:Hendelser i 1500-årene
Ronney:10oo eash	Kategori:900-tallet
Ronney:7oo eash	Kategori:600-tallet
Ronney:Baaseyn 'sy vlein 1005	Kategori:Dødsfall i 1005
Ronney:1260yn	Kategori:Hendelser i 1260-årene
Ronney:960yn	Kategori:Hendelser i 960-årene
Ronney:Fo-eaddagh	Kategori:Undertøy
Clowan:ToshiaghtImraa	Mal:Refstart
Ronney:1100yn	Kategori:Hendelser i 1100-årene
Ronney:Baaseyn 'sy vlein 1093	Kategori:Dødsfall i 1093
Ronney:1101	Kategori:1101
Ronney:Thieyn as strughtooryn rere boayl	Kategori:Byggverk etter område
Ronney:Obbraghyn crootagh	Kategori:Verk
Ronney:Aghtys deiney	Kategori:Menneskelig atferd
Ronney:Deiney	Kategori:Mennesker
Ronney:Far-gheiney	Kategori:Primater
Ronney:Clowanyn reamys Ronney	Kategori:Kategorimaler
Ronney:Jalloo-oaylleeaght lossreeyn	Kategori:Plantemorfologi
Ronney:1300	Kategori:1300
Ronney:1302	Kategori:1302
Ronney:1304	Kategori:1304
Ronney:1312	Kategori:1312
Ronney:Çhengaghyn Iddaalagh	Kategori:Italiske språk
Ronney:Parteeyn politickagh ayns Pobblaght Nerin	Kategori:Politiske partier i Republikken Irland
Ronney:Ardjyn ny Frank	Kategori:Frankrikes regioner
Ronney:Auvergne	Kategori:Auvergne
Ronney:1380	Kategori:1380
Ronney:Yn Vurgoon	Kategori:Bourgogne
Ronney:2014	Kategori:2014
Ronney:1400	Kategori:1400
Ronney:Île-de-France	Kategori:Île-de-France
Ronney:Yn Chorsickey	Kategori:Korsika
Ronney:Nord-Pas-de-Calais	Kategori:Nord-Pas-de-Calais
Clowan:Str find	Mal:Str find
Ronney:Spoyrteyryn rere ashoonaght	Kategori:Sportsutøvere etter nasjonalitet
Ronney:Politickaght ny Steatyn Unnaneysit	Kategori:USAs politikk
Clowan:Ymmydeyr sv-3	Mal:Bruker sv-3
Ronney:1484	Kategori:1484
Ronney:1485	Kategori:1485
Ronney:1487	Kategori:1487
Ronney:1488	Kategori:1488
Ronney:1489	Kategori:1489
Ronney:Scannaneyn veih'n vlein 1993	Kategori:Filmer fra 1993
Clowan:Fr jalloo	Mal:Fr icon
Ronney:Arraghey rere çheer	Kategori:Transport etter område
Ronney:Baaseyn 'sy vlein 1528	Kategori:Dødsfall i 1528
Ronney:1533	Kategori:1533
Ronney:1540	Kategori:1540
Ronney:Bea-chemmig	Kategori:Biokjemi
Ronney:Possanyn kiaullee rere ashoonaght	Kategori:Musikkgrupper etter område
Ronney:Commyoonyn ayns Liger-Atlantel	Kategori:Kommuner i Loire-Atlantique
Ronney:Fliughane-oaylleeaght	Kategori:Mykologi
Ronney:Yn Çheer Vascagh	Kategori:Baskerland
Lught-Reill Lectraghys Manninagh	Manx Electricity Authority
Ronney:1652	Kategori:1652
Ronney:Baaseyn 'sy vlein 1666	Kategori:Dødsfall i 1666
Ronney:1678	Kategori:1678
Ronney:1711	Kategori:1711
Ronney:Baaseyn 'sy vlein 1741	Kategori:Dødsfall i 1741
Ronney:Baaseyn 'sy vlein 1744	Kategori:Dødsfall i 1744
Ronney:1751	Kategori:1751
Ronney:Baaseyn 'sy vlein 1759	Kategori:Dødsfall i 1759
Ronney:1765	Kategori:1765
Ronney:1767	Kategori:1767
Ronney:1775	Kategori:1775
Ronney:Baaseyn 'sy vlein 1782	Kategori:Dødsfall i 1782
Ronney:Çheer-oaylleeaght ny h-Iddaal	Kategori:Italias geografi
Ronney:Baaseyn 'sy vlein 1790	Kategori:Dødsfall i 1790
Ronney:Lettyraght rere ashoonaght	Kategori:Litteratur etter område
Ronney:Yn Tardeen	Kategori:Sardinia
Ronney:Çheer-oaylleeaght ny h-Oarpey	Kategori:Europas geografi
Ronney:Scannaneyn veih'n vlein 1970	Kategori:Filmer fra 1970
Ronney:Jeshaghteyrys troggal	Kategori:Byggeteknikk
Ronney:Steatyn ny Germaan	Kategori:Tyske delstater
Ronney:Yn Rhine Hwoaie-Westfalen	Kategori:Nordrhein-Westfalen
Ronney:Florida	Kategori:Florida
Ronney:Pays-de-la-Loire	Kategori:Pays de la Loire
Ronney:Picardie	Kategori:Picardie
Ronney:Glaschu	Kategori:City of Glasgow
Ronney:Sleityn 'sy Choose Berçhagh	Kategori:Fjell i Costa Rica
Ronney:Volcaanyn 'sy Choose Berçhagh	Kategori:Vulkaner i Costa Rica
Ronney:Kishtaghyn fys çhaghnoaylleeaght as oaylleeaght feamagh	Kategori:Infobokser teknologi
Ronney:Shennaghys ny Germaan	Kategori:Tysklands historie
Clowan:Coord/dec2dms/dm	Mal:Koord/dec2dms/dm
Ronney:Coondaeghyn ny Litaan	Kategori:Litauens fylker
Ronney:Co-vunstooghyn orgaanagh	Kategori:Organiske forbindelser
Ronney:Gasyn taaue	Kategori:Edelgasser
Ronney:Nevada	Kategori:Nevada
Ronney:Nebraska	Kategori:Nebraska
Ronney:Dakota Hwoaie	Kategori:Nord-Dakota
Ronney:New Mexico	Kategori:New Mexico
Ronney:York Noa	Kategori:New York State
Ronney:New Jersey	Kategori:New Jersey
Ronney:New Hampshire	Kategori:New Hampshire
Ronney:Ellan Rhode	Kategori:Rhode Island
Ronney:Louisiana	Kategori:Louisiana
Ronney:Maryland	Kategori:Maryland
Ronney:Maine	Kategori:Maine
Ronney:Minnesota	Kategori:Minnesota
Ronney:Michigan	Kategori:Michigan
Ronney:Mississippi	Kategori:Mississippi
Ronney:Missouri	Kategori:Missouri
Ronney:Vermont	Kategori:Vermont
Ronney:Yn Virjeeney	Kategori:Virginia
Ronney:Dakota Yiass	Kategori:Sør-Dakota
Ronney:Idaho	Kategori:Idaho
Ronney:Iowa	Kategori:Iowa
Ronney:Arkansas	Kategori:Arkansas
Ronney:Alaska	Kategori:Alaska
Ronney:Arizona	Kategori:Arizona
Ronney:Alabama	Kategori:Alabama
Ronney:Oregon	Kategori:Oregon
Ronney:Ohio	Kategori:Ohio
Ronney:Yn Virjeeney Heear	Kategori:Vest-Virginia
Ronney:Wisconsin	Kategori:Wisconsin
Ronney:Utah	Kategori:Utah
Ronney:Indiana	Kategori:Indiana
Ronney:Illinois	Kategori:Illinois
Ronney:Kansas	Kategori:Kansas
Ronney:California	Kategori:California
Ronney:Kentucky	Kategori:Kentucky
Ronney:Connecticut	Kategori:Connecticut
Ronney:Colorado	Kategori:Colorado
Ronney:Texas	Kategori:Texas
Ronney:Pennsylvania	Kategori:Pennsylvania
Ronney:Hawaii	Kategori:Hawaii
Ronney:Slystyn gurneilys ynnydagh Hostyn	Kategori:Engelske distrikter
Ronney:Fassan	Kategori:Mote
Ronney:Yn Vooir Arctagh	Kategori:Nordishavet
Ronney:Clowanyn imraa	Kategori:Referansemaler
Clowan:ICD9	Mal:ICD9
Ronney:Moddee	Kategori:Hunder
Ronney:Scannaneyn paitçhyn Americaanagh	Kategori:Barnefilmer fra USA
Ronney:Ollooscoillyn as colleishyn 'sy Ghermaan	Kategori:Universiteter i Tyskland
Ronney:Scannaneyn Americaanagh rere sorçh	Kategori:Filmer fra USA etter sjanger
Ronney:Screeudeyryn Frangagh	Kategori:Franske forfattere
Ronney:Screeudeyryn Yernagh	Kategori:Irske forfattere
Ronney:Scannaneyn draamey Americaanagh	Kategori:Dramafilmer fra USA
Ronney:Scannaneyn bioghit Americaanagh	Kategori:Animasjonsfilmer fra USA
Ronney:Çheer-oaylleeaght Liechtenstein	Kategori:Liechtensteins geografi
Ronney:Eggaghyn feeit	Kategori:Tekstiler
Ronney:Buill chummaltagh er awinyn	Kategori:Elvebyer
Ronney:Sleih rere steat ayns ny Steatyn Unnaneysit	Kategori:Personer etter føde- eller oppvekststed i USA
Ronney:Screeudeyryn Rooshagh	Kategori:Russiske forfattere
