Àfrica	Afrika
Centre Mundial Bahá'í	Bahá'ís verdenssenter
Fiat 124	Fiat 124
Estadi del Gran Cigne de Niigata	Tohoku Denryoku Big Swan Stadium
Estadi de la Copa del Món de Gwangju	Gwangju World Cup Stadium
Estadi de la Copa del Món de Suwon	Suwon World Cup Stadium
Estadi de les Ales de Kobe	Kobe Wing Stadium
Estadi de Kashima	Kashima Stadium
Estadi de Miyagi	Miyagi Stadium
Bring Me the Horizon	Bring Me the Horizon
Geesthacht	Geesthacht
San Martin de Tor	San Martin de Tor
Terlan	Terlan
Municipi de Gribskov	Gribskov kommune
Gaétan Boucher	Gaétan Boucher
Estadi Nagai	Nagai Stadium
Sapporo Dome	Sapporo Dome
Assemblees de Déu	Assemblies of God
Jocs Asiàtics de 2002	Asialekene 2002
Korea Aerospace Research Institute	Korea Aerospace Research Institute
Història de Corea del Sud	Sør-Koreas historie
Zona econòmica especial	Spesiell økonomisk sone
Doble sostingut	Dobbeltkryss
Andrea Solario	Andrea Solari
Columba janthina	Mikadodue
Triquinosi	Trikinose
Hodori	Hodori
Panmunjeom	Panmunjom
Andrea Tafi	Andrea Tafi
Andrea Tonti	Andrea Tonti
Galatasaray SK (futbol)	Galatasaray
Allunatge	Månelanding
Karen (Myanmar)	Karen (stat)
Antioch (Califòrnia)	Antioch (California)
Garie	Garie
Lapil·li	Lapilli
Estat major	Stabsoffiser
Windows 3.1x	Windows 3.1x
La bella i la bèstia	Skjønnheten og udyret
Terry McDermott (patinador)	Richard McDermott
Bandera de la unificació coreana	Koreas gjenforeningsflagg
Deutsche Reichspartei	Deutsche Reichspartei
Kumgangsan	Kumgangfjellet
Bombardí	Eufonium
Jennifer Tilly	Jennifer Tilly
Gerúsia	Gerousia
Jocs Asiàtics de 1986	Asialekene 1986
Illa volcànica i els túnels de lava de Jeju	Vulkanøya Jeju og lavatunneler
Micmac	Micmac
Max van Heeswijk	Max van Heeswijk
Jimmy Engoulvent	Jimmy Engoulvent
Hiroaki Morishima	Hiroaki Morishima
Toshihiro Hattori	Toshihiro Hattori
El vol del fènix (pel·lícula de 1965)	Flyet som forsvant
Masakiyo Maezono	Masakiyo Maezono
Downhill	Downhill (film)
Fortunato Baliani	Fortunato Baliani
Els Croods	Croods
Enric V (Shakespeare)	Kong Henrik V
Lee Yoo-Hyung	Lee Yoo-hyung
Yutaka Akita	Yutaka Akita
Kim Yong-Sik	Kim Yong-sik
Tomokazu Myojin	Tomokazu Myojin
Jade North	Jade North
Fosa (indústria)	Støping
The Lumineers	The Lumineers
Arquebisbat de Bremen	Bremen erkebispedømme
Deere and Company	Deere & Company
Encavalcament	Skyvedekke
Hornbostel-Sachs	Hornbostel-Sachs
Assecadora	Tørketrommel
Waterloo (Iowa)	Waterloo (Iowa)
Ulbha	Ulva
Dia Europeu de les Llengües	Den europeiske språkdagen
Callistemon	Flaskebørsteslekten
Organització territorial del Sudan del Sud	Sør-Sudans delstater
Associació del Futbol Argentí	Argentinas fotballforbund
OpenMP	OpenMP
Alcínou	Alkinoos
Click	Click
Canis dirus	Skrekkulv
Equus (pel·lícula)	Equus – hestenes gud
George Hillyard	George Hillyard
Asmoneus	Hasmonske dynasti
Advocaat	Advocaat
Livio Trapè	Livio Trapè
Kevin Seeldraeyers	Kevin Seeldraeyers
Metro de Buenos Aires	Buenos Aires’ undergrunnsbane
Un home anomenat Cavall	A Man Called Horse
Touchstone Pictures	Touchstone Pictures
Oxoàcid	Oksosyrer
Nazaré	Nazaré (Portugal)
Richard J. Terrile	Richard John Terrile
Circulació coronària	Kransarterie
MC	Master of Ceremonies
Viktor Kosichkin	Viktor Kositsjkin
Riu Gard	Gardon
Principi de Peter	Peter-prinsippet
Gregori Mammes	Gregorios III
Radiació de Hawking	Hawking-stråling
Receptacle	Blomsterbunn
Tubize	Tubize
Braine-le-Château	Braine-le-Château
Walcourt	Walcourt
Braine-l'Alleud	Braine-l'Alleud
Witenagemot	Witenagemot
Salts als Jocs Olímpics d'estiu de 2008	Stuping under Sommer-OL 2008
Objecte estel·lar jove	Ungt stjerneobjekt
Durbuy	Durbuy
Claude Goudimel	Claude Goudimel
Llista de municipis de la Manche	Kommuner i departementet Manche
Llista de municipis de Deux-Sèvres	Kommuner i departementet Deux-Sèvres
Jochem Uytdehaage	Jochem Uytdehaage
Gosplan	Gosplan
Rochefort (Bèlgica)	Rochefort (Belgia)
Bernt Evensen	Bernt Evensen
Orkla	Orkla (elv)
Associació de Futbol d'Irlanda	Football Association of Ireland
Síndrome del despoblament dels ruscos	Bidøden
Peugeot 308	Peugeot 308
Comtat d'Atlantic	Atlantic County
Parròquia de Cameron (Louisiana)	Cameron Parish
Peleliu	Peleliu
Bandera d'Alabama	Alabamas flagg
Telefèric	Taubane
Districte de Huadu	Huadu
Les Pavillons-sous-Bois	Les Pavillons-sous-Bois
Pemba (Moçambic)	Pemba (Mosambik)
Regió de Pemba Sud	Pemba Kusini
Regió de Pemba del Nord	Pemba Kaskazini
Antonio Bailetti	Antonio Bailetti
Martinet ros xinès	Vinhegre
Hora punta 3	Rush Hour 3
Moviment d'auto-enfortiment	Selvstyrkingsbevegelsen
Edinburgh of the Seven Seas	Edinburgh of the Seven Seas
Martinet ros de ventre roig	Rustbukhegre
Martinet ros de Madagascar	Prydhegre
Martinet ros malai	Damhegre
Disjunció exclusiva	Eksklusiv disjunksjon
Tifó Kompasu (2010)	Tyfonen Kompasu
Fontcouverte-la-Toussuire	Fontcouverte-la Toussuire
Lactarius deterrimus	Granmatriske
Martinet verd	Grønnrygghegre
Embenat de peus	Fotbinding
Trastorn esquizoide de la personalitat	Schizoid personlighetsforstyrrelse
Estadio Centenario	Estadio Centenario
Llança de Mart	♂
Província de Masvingo	Masvingo (provins)
Matabeleland Meridional	Matabeleland South
Porco Rosso	Porco Rosso
Mercury-Redstone 4	Mercury-Redstone 4
Universitat de Letònia	Universitetet i Latvia
Martinet ros de l'Índia	Mangrovehegre
Departament de Chontales	Chontales
Finntroll	Finntroll
Regió Autònoma de l'Atlàntic Nord	Región Autónoma del Atlántico Norte
Municipi de Læsø	Læsø kommune
Selecció de rugbi de Sud-àfrica	Sør-Afrikas herrelandslag i rugby union
Mercury-Atlas 6	Mercury-Atlas 6
FH Hafnarfjörður	Fimleikafélag Hafnarfjarðar
Perleberg	Perleberg
El castell al cel	Laputa: Castle in the Sky
Estació McMurdo	McMurdo Station
Gant-Wevelgem	Gent–Wevelgem
Mercury-Atlas 7	Mercury-Atlas 7
Mercury-Atlas 8	Mercury-Atlas 8
Romanització revisada del coreà	Revidert romanisering av koreansk
Mercury-Atlas 9	Mercury-Atlas 9
Estanislao Esteban Karlic	Estanislao Esteban Karlic
Obertura vienesa	Wienerparti
Esfera de Hill	Hill-sfære
Catena	Kraterkjede
Òptim climàtic medieval	Den varme perioden i middelalderen
The Philadelphia Story	En nydelig historie
Korean Broadcasting System	Korean Broadcasting System
Tonnerre (Yonne)	Tonnerre
La sirena de les aigües verdes	Havets bytte
Andreas Klier	Andreas Klier
Ferris Bueller's Day Off	Skulk med stil
Apràxia	Apraksi
Aerosol atmosfèric	Svevestøv
Zona del Canal de Panamà	Panamakanalsonen
(849) Ara	849 Ara
Gebel Barkal	Gebel Barkal
Partit Socialdemòcrata de Finlàndia	Finlands sosialdemokratiske parti
Atletisme als Jocs Olímpics d'estiu de 1904 - triatló homes	Friidrett under Sommer-OL 1904 – Trekamp herrer
Atletisme als Jocs Olímpics d'estiu de 1904 - marató homes	Friidrett under Sommer-OL 1904 – Maraton herrer
Metamònad	Tetramastigota
Tramin an der Weinstraße	Tramin an der Weinstraße
Bandera de Maine	Maines flagg
Sëlva	Sëlva
Catàleg d'Estrelles Brillants	Bright Star Catalogue
Ascraeus Mons	Ascraeus Mons
Tyler (Texas)	Tyler (Texas)
Barstow (Califòrnia)	Barstow (California)
Brixia Tour	Brixia Tour
Fletxa Valona	La Flèche Wallonne
Ona portadora	Bærebølge
Yakima	Yakima (Washington)
Cognició animal	Dyrs læring
Problema del polissó	Gratispassasjerproblemet
Església Fonamentalista de Jesucrist dels Sants dels Últims Dies	Fundamentalist Church of Jesus Christ of Latter-Day Saints
Jean-Dominique Cassini	Jean-Dominique Cassini
Clan escocès	Skotske klaner
Sep Vanmarcke	Sep Vanmarcke
Marco Marcato	Marco Marcato
Mathieu Ladagnous	Matthieu Ladagnous
Deinze	Deinze
París-Tours	Paris–Tours
Sousafó	Sousafon
Municipi de Høje-Taastrup	Høje-Taastrup kommune
Universitat Rutgers	Rutgers University
Província de Sucumbíos	Sucumbíos
Tauró follet	Nesehai
Båstad	Båstad kommune
Regió de Mtwara	Mtwara (region)
Municipi de Solrød	Solrød kommune
Ilam	Ilam
Província d'Orellana	Orellana
Municipi d'Allerød	Allerød kommune
Placa índica	Den indiske kontinentalplate
Qussayr Amra	Quseir Amra
Geraardsbergen	Geraardsbergen
Zhoukoudian	Zhoukoudian
Beals Wright	Beals Wright
Herstappe	Herstappe
Poperinge	Poperinge
Ans	Ans
Hamont-Achel	Hamont-Achel
Grec arcadoxipriota	Arkadokypriotisk gresk
Alken	Alken
Borgloon	Borgloon
Criptodir	Halsgjemmere
Batalla del pont de Stirling	Slaget ved Stirling Bridge
Ciclisme als Jocs Olímpics	Sykling under sommer-OL
Toshihiro Aoyama	Toshihiro Aoyama
Illes Saròniques	De saroniske øyer
Nidelva	Nidelva (Trøndelag)
Schnals	Schnals
Vadena	Vadena
BNP Paribas	BNP Paribas
Rintje Ritsma	Rintje Ritsma
Andreas Ostler	Andreas Ostler
Ara em veus...	Now You See Me
Estadi Alberto J. Armando	Estadio Alberto J. Armando
Municipi de Rebild	Rebild kommune
Universitat de Torí	Universitetet i Torino
Porto Seguro	Porto Seguro
Gràfila	Serratering
Partit Tory	Tory (historisk britisk parti)
Gravimetria	Gravimetri
Icosàedre truncat	Avstumpet ikosaeder
Comissari Rex	Kommissær Rex
Toyota Camry	Toyota Camry
Camp a través	Terrengløp
Municipi d'Odder	Odder kommune
Tractat de Bucarest (1913)	București-traktaten (1913)
Municipi de Gentofte	Gentofte kommune
Mario Aerts	Mario Aerts
Venstre (Noruega)	Venstre
Psilophyta	Psilotaceae
Armador	Skipsreder
Ciclòstom	Rundmunner
Pardal de Java	Javarisfugl
Juan Idiarte Borda	Juan Idiarte Borda
Qàlat Bani Hammad	Al Qal'a
José Eugenio Ellauri Obes	José Eugenio Ellauri
Brigants	Brigantere
Llengües gal·loromàniques	Galloromanske språk
Parc nacional de la Selva Impenetrable de Bwindi	Bwindi Impenetrable nasjonalpark
Guerres romano-sassànides	De romersk-persiske kriger
Parimarjan Negi	Parimarjan Negi
Monestir de Dafni	Dafniklosteret
Overland Park	Overland Park
Cercozou	Cercozoa
Aquità	Aquitansk
Maurizio Fondriest	Maurizio Fondriest
Gonzalo Torrente Ballester	Gonzalo Torrente Ballester
.travel	.travel
Síndrome de l'ovari poliquístic	Polycystisk ovariesyndrom
Loganiàcia	Loganiaceae
Àcar de la sarna	Skabbmidd
Tiksi	Tiksi
Britannia Stadium	Britannia Stadium
Philips Stadion	Philips Stadion
VMFD Žalgiris Vilnius	VMFD Žalgiris Vilnius
Zarafxan	Zeravsjan
Premis People's Choice	People's Choice Awards
Channel 4	Channel 4
Udi	Udinere
Polimorfisme de nucleòtids simples	Enkeltnukleotidpolymorfi
Andreas Wecker	Andreas Wecker
Oronsay	Oronsay (Hebridene)
Kerrera	Kerrera
Muck	Muck (Skottland)
Foot Ball Club Unione Venezia	FBC Unione Venezia
Riu Hai	Hai He
Isin	Isin
Illa de Roosevelt	Roosevelt Island
Parc Nacional del Comoé	Comoé nasjonalpark
Història de la química	Kjemiens historie
La Pinta	«Pinta»
Futur (gramàtica)	Futurum
Våler, Hedmark	Våler (Hedmark)
Hasbro	Hasbro
Cabirol de Sibèria	Sibirsk rådyr
The Lightning Thief	Lyntyven
Departament d'Agricultura dels Estats Units	Jordbruksdepartementet (USA)
Malaquies (Israel)	Kiryat Malakhi
Orella mitjana	Mellomøre
Pericarditis	Perikarditt
Llangardaix de gorguera	Krageagam
Catatonia (síndrome)	Katatoni
Copa d'Àfrica de Nacions de 1959	Afrikamesterskapet i fotball 1959
La Niña (caravel·la)	«Niña»
Slesvig	Schleswig
Licaó	Lykaon
Espérance Sportive Troyes Aube Champagne	Troyes AC
Divisió de Khulna	Khulna (divisjon)
Contraespionatge	Kontraetterretning
President de Cap Verd	Liste over Kapp Verdes presidenter
Pomacèntrid	Jomfrufisker
Sverre Hassel	Sverre Hassel
Duna de Pyla	Dune de Pilat
Caràngid	Taggmakreller
Àguila marcial	Kampørn
Lorenzo Batlle y Grau	Lorenzo Batlle y Grau
Ranst	Ranst
Olav Bjaaland	Olav Bjaaland
Carantània	Karantania
Subproletariat	Filleproletariat
Murfreesboro (Tennessee)	Murfreesboro (Tennessee)
Barbaria	Barbareskkysten
Gàlata	Galata
Wadi al-Hitan	Wadi Al-Hitan
Mizrahim	Mizrahisk jødedom
Universitat de Turku	Åbo universitet
Batedora	Blender (redskap)
O Brother, Where Art Thou?	O Brother, Where Art Thou?
Bernard Lewis	Bernard Lewis
Heterozigot	Heterozygot
Taizé (Saona i Loira)	Taizé (Saône-et-Loire)
Kenny Elissonde	Kenny Elissonde
El cap de la por	Cape Fear (1991)
Symbion	Cycliophora
Unió Danesa de Futbol	Dansk Boldspil-Union
Handley Page Halifax	Handley Page Halifax
Astronomia extragalàctica	Ekstragalaktisk astronomi
Municipi d'Ishøj	Ishøj kommune
Festival Internacional de Cinema de Locarno	Locarno internasjonale filmfestival
Patinet	Sparkesykkel
Heliport	Helikopterplass
North American B-25 Mitchell	North American B-25 Mitchell
BlackBerry Limited	BlackBerry Limited
Llista de municipis del Roine	Kommuner i departementet Rhône
Llista de municipis de l'Alta Savoia	Kommuner i departementet Haute-Savoie
S&M (àlbum)	S&M (album)
Municipi de Frederikshavn	Frederikshavn kommune
Província de Puntarenas	Puntarenas (provins)
Sodankylä	Sodankylä
Província de Cartago	Cartago (provins)
Província d'Alajuela	Alajuela (provins)
Space cowboys	Space Cowboys
Província d'Heredia	Heredia (provins)
Wagah	Wagah
Escàrid	Papegøyefisker
Barbatula barbatula	Smerling
Llista de municipis del Mosa	Kommuner i departementet Meuse
Andrei Mizúrov	Andrej Mizurov
Falanges Libaneses	Falangistpartiet (Libanon)
Éber	Eber
Regió Nord (Burkina Faso)	Nord (Burkina Faso)
Regió del Nord (Camerun)	Nord (Kamerun)
Tanc Matilda	Matilda (stridsvogn)
Duc de Montblanc	Hertug av Montblanc
Großschweidnitz	Großschweidnitz
Bertsdorf-Hörnitz	Bertsdorf-Hörnitz
Oderwitz	Oderwitz
Neißeaue	Neißeaue
Andrei Zeits	Andrej Zejts
Quitzdorf am See	Quitzdorf am See
Hohendubrau	Hohendubrau
Obercunnersdorf	Obercunnersdorf
Hainewalde	Hainewalde
Kreba-Neudorf	Kreba-Neudorf
Oybin	Oybin
Niedercunnersdorf	Niedercunnersdorf
Rietschen	Rietschen
Dürrhennersdorf	Dürrhennersdorf
Eibau	Eibau
Groß Düben	Groß Düben
Berthelsdorf	Berthelsdorf
Olbersdorf	Olbersdorf
Oppach	Oppach
Beiersdorf	Beiersdorf
Darrere el cor verd	Kampen om den grønne diamant
Municipi de Lemvig	Lemvig kommune
Districte de Stann Creek	Stann Creek (distrikt)
Rosenbach	Rosenbach (Oberlausitz)
Krauschwitz (Saxònia)	Krauschwitz (Sachsen)
Cenagriònid	Blåvannymfer
Leutersdorf (Saxònia)	Leutersdorf (Sachsen)
Ringkøbing	Ringkøbing
Großhennersdorf	Großhennersdorf
Ohrdruf	Ohrdruf
Duresa Rockwell	Rockwell (skala)
Teixit cartilaginós	Brusk
Municipi de Morsø	Morsø kommune
Robert d'Orleans (duc de Chartres)	Robert, hertug av Chartres
Jérôme Pineau	Jérôme Pineau
Disc Hologràfic Versàtil	Holographic Versatile Disc
Kjell Carlström	Kjell Carlström
Humanoide	Humanoid
Municipi de Viborg	Viborg kommune
Sylvain Calzati	Sylvain Calzati
Uherské Hradiště	Uherské Hradiště
John Hencken	John Hencken
Natura 2000	Natura 2000
Sebastian Lang	Sebastian Lang
Municipi de Fredensborg	Fredensborg kommune
Andrei Rublev (pel·lícula)	Andrej Rubljov (film)
David de Trebisonda	David Megas Komnenos
Kets	Ketere
Andrei Zigmantòvitx	Andrej Zygmantovitsj
Municipi de Rødovre	Rødovre kommune
Vinil	Vinyl
Municipi de Skive	Skive kommune
Municipi de Ringsted	Ringsted kommune
Brownie	Brownie
José Ignacio Fernández Iglesias	Nacho Fernández
Municipi de Furesø	Furesø kommune
BP (unitat de temps)	Before Present
Alexander Stubb	Alexander Stubb
Artur Taymazov	Artur Taymazov
Municipi de Stevns	Stevns kommune
Municipi de Holbæk	Holbæk kommune
Schönau-Berzdorf	Schönau-Berzdorf
Christie's	Christie's
Arthur Gore	Arthur Gore
Konz	Konz
Yōkai	Yōkai
Nescafé	Nescafé
Charles Victoire Emmanuel Leclerc	Charles Leclerc
International Football Association Board	International Football Association Board
Municipi de Jammerbugt	Jammerbugt kommune
Servei Secret dels Estats Units	U.S. Secret Service
Municipi de Struer	Struer kommune
Municipi de Frederikssund	Frederikssund kommune
Robert de Molesme	Robert av Molesme
Campionat del Món d'atletisme de 2001	VM i friidrett 2001
Juilliard School	The Juilliard School
José Emilio Santamaría Iglesias	José Santamaría
Armanyac (beguda)	Armagnac
Sutton Hoo	Sutton Hoo
Riu Tweed	Tweed (Skottland)
Mont submarí	Undervannsfjell
Anticongelant	Kjølevæske
Donald Johanson	Donald Johanson
Southwest Airlines	Southwest Airlines
Max Décugis	Max Decugis
Gent corrent	Ordinary People
Estadi Olímpic d'Amsterdam	Olympisch Stadion (Amsterdam)
Club Deportivo Guadalajara	CD Guadalajara
Carlo Dolci	Carlo Dolci
El genet pàl·lid	Pale Rider
Ali-Shir Nava'i	Ali-Shir Nava'i
Atac a Mers el-Kebir	Angrepet på Mers-el-Kébir
Nadala	Julemusikk
Bruixa aguda	Spiss fleinsopp
Chaudfontaine	Chaudfontaine, Liège
Carrantuohill	Carrauntuohill
Tottenham	Tottenham
Skanderborg	Skanderborg
Trafford Leigh-Mallory	Trafford Leigh-Mallory
Esglésies rupestres d'Ivànovo	Klippekirkene i Ivanovo
Reacció de substitució	Substitusjonsreaksjon
Universitat de Maryland	University of Maryland
Florentino Ameghino	Florentino Ameghino
Universitat d'Arizona	University of Arizona
Parc Nacional de Jasper	Jasper nasjonalpark
Toubkal	Jbel Toubkal
Adelaide di Borgogna	Adelaide di Borgogna
Universitat de Ginebra	Universitetet i Genève
Grenadines	Grenadinene
Denís Dmítriev	Denis Dmitrijev
Georadar	Georadar
Departament de Comerç dels Estats Units	Handelsdepartementet (USA)
Partit Laborista (Irlanda)	Labour Party (Irland)
Costa d'Or (colònia britànica)	Gullkysten (britisk koloni)
Easy Rider	Easy Rider
Magnus Lindberg	Magnus Lindberg
Mod	Mod (subkultur)
Chris Pratt	Chris Pratt
Illes Antípodes	Antipodeøyene
Selecció femenina de futbol de Nova Zelanda	New Zealands kvinnelandslag i fotball
Ossian	Ossians sanger
Cànnid	Slangehodefisker
Escarabat hèrcules	Herkulesbille
Castor de muntanya	Beverekorn
Tomba dels Askia	Askias grav
São Miguel das Missões	São Miguel das Missões
Justin Francis Rigali	Justin Francis Rigali
Parc Nacional del Manovo-Gounda Saint-Floris	Manovo-Gounda St. Floris nasjonalpark
Paranaguá	Paranaguá
Naantali	Nådendal
Sterling Morrison	Sterling Morrison
Oyo	Oyo (delstat)
Estat del Delta	Delta (delstat)
(464) Megaira	464 Megaira
Rivers	Rivers State
Estat de Sokoto	Sokoto (delstat)
John Gilbert	John Gilbert
Enllumenat públic	Gatebelysning
Argentada comuna	Keiserkåpe
Batalla de Mícale	Slaget ved Mykale
Vellutada del salze	Sørgekåpe
Roth	Roth
LIDAR	LIDAR
Illes Gambier	Gambierøyene
Nebra (Unstrut)	Nebra (Unstrut)
Ocean's Twelve	Ocean's Twelve
Goražde	Goražde
Demòcrates Suecs	Sverigedemokraterna
Estergit	Sjablong
Iolau	Iolaos
Dictadura dels Coronels (1967–1974)	Den greske militærjuntaen 1967–1974
Saxon	Saxon
RMS Carpathia	RMS «Carpathia»
Municipi de Copenhaguen	Københavns kommune
Renault 5	Renault 5
Xarxet alablau	Blåvingeand
Segment A	Bybil
Atracció fatal	Farlig begjær
Grec jònic	Jonisk gresk
Tirol (Tirol del Sud)	Tirol (kommune)
Província de Loja	Loja (provins)
Mimosòidia	Mimosoideae
Aluata	Brølaper
Província de Tungurahua	Tungurahua (provins)
Santa Cristina Gherdëina	San Cristina
Província de Los Ríos	Los Ríos
Vicecanceller d'Alemanya	Liste over Tysklands visekanslere
Guifré el Pilós	Wilfred den hårete
Fiorenzo Angelini	Fiorenzo Angelini
Parc Nacional de Semien	Simien nasjonalpark
Henry Wager Halleck	Henry Halleck
Lar	Larer
Aleksandr Samsónov	Aleksandr Samsonov
Inguri	Inguri
Gimnàs (Antiga Grècia)	Gymnasion
Llac Mweru	Mweru
Illa Gran de Chiloé	Chiloé
Andrew Dice Clay	Andrew Dice Clay
Pulp (grup de música)	Pulp
Peter Burke	Peter Burke
Ratpenat d'aigua	Vannflaggermus
Aigua de cristal·lització	Krystallvann
Mona vermella	Husarape
Cordúlid	Metalløyestikkere
Cérvol dels pantans	Sumphjort
Acompanyament musical	Akkompagnement
Gummo Marx	Gummo Marx
Crescenzio Sepe	Crescenzio Sepe
Frelimo	FRELIMO
Efecte fundador	Grunnleggereffekten
Franca (São Paulo)	Franca (São Paulo)
IRA Provisional	Den provisoriske IRA
Marian Gold	Marian Gold
Alta Verapaz	Alta Verapaz
Mal Whitfield	Mal Whitfield
Ford Escort	Ford Escort
Andrew Fenn	Andrew Fenn
Baja Verapaz	Baja Verapaz
Lebbeke	Lebbeke
Municipi de Køge	Køge kommune
Província de Manabí	Manabí
Llista de presidents de Tunísia	Liste over Tunisias presidenter
Robert Zubrin	Robert Zubrin
Cromatòfor	Kromatofor
Víctor José Arriagada Ríos	Vicar
Romano Scarpa	Romano Scarpa
Cirque du Soleil	Cirque du Soleil
Grande Armée	La grande armée
Llista de presidents de Costa Rica	Liste over Costa Ricas presidenter
Frederic VI de Suàbia	Fredrik VI av Schwaben
Batalla de Pidna	Slaget ved Pydna
Louis Andriessen	Louis Andriessen
Helvetica	Helvetica
Corba de Laffer	Lafferkurven
Arthur O. Lovejoy	Arthur Lovejoy
Estat de Chu	Chu
George Nares	George Nares
Illa de Melville (Austràlia)	Melvilleøya (Australia)
Dinastia Xin	Xin-dynastiet
Filó Herenni Bibli	Herennios fra Byblos
Càncer de bufeta urinària	Urinveiskreft
Rodolf III de Borgonya	Rudolf III av Burgund
Llista de les ciutats de Somàlia	Liste over byer i Somalia
Francis George	Francis Eugene George
Vaison	Vaison-la-Romaine
Tuscarora	Tuscaroraene
Llista de municipis del Mosel·la	Kommuner i departementet Moselle
Les Essarts (Vendée)	Les Essarts (Vendée)
Inundació dels Països Baixos del 1953	Watersnood (1953)
Ricard Maria Carles i Gordó	Ricardo María Carles Gordó
Tràquea (artròpodes)	Traké
Panacota	Panna cotta
Carlos Amigo Vallejo	Carlos Amigo Vallejo
Lippo Memmi	Lippo Memmi
Alessandro Moreschi	Alessandro Moreschi
Gílip	Gylippos
Municipi de Greve	Greve kommune
Demòstenes (general)	Demosthenes (general)
Municipi de Faxe	Faxe kommune
Faust Socini	Fausto Sozzini
Carles III de Lorena	Karl III av Lothringen
Francesco Casagrande	Francesco Casagrande
Felix Draeseke	Felix Draeseke
Andrew Hampsten	Andrew Hampsten
Christos Volikakis	Christos Volikakis
Municipi d'Ovanåker	Ovanåker kommune
Municipi d'Egedal	Egedal kommune
Municipi de Halsnæs	Halsnæs kommune
Joshua Logan	Joshua Logan
Joseph Brant	Joseph Brant
L'any que vam viure perillosament	Brennpunkt Djakarta
Municipi de Silkeborg	Silkeborg kommune
Municipi de Norddjurs	Norddjurs kommune
Gòmfid	Elveøyenstikkere
Aeshna cyanea	Blågrønn øyenstikker
Serradora	Sagbruk
Regió de Huancavelica	Huancavelica (region)
Wilhelm Friedrich Ernst Bach	Wilhelm Friedrich Ernst Bach
Nikos Pulantzàs	Nicos Poulantzas
Municipi de Lejre	Lejre kommune
Aeroport Internacional de Riga	Riga internasjonale lufthavn
Comtat d'Orange (Vermont)	Orange County (Vermont)
Tyler Hamilton	Tyler Hamilton
Avicii	Avicii
Cotxinxina	Cochinkina
Sistema nerviós somàtic	Det somatiske nervesystem
Johann Philipp Kirnberger	Johann Philipp Kirnberger
Bastonet de la retina	Staver
Joan Jordi II de Saxònia	Johan Georg II av Sachsen
Redwood City	Redwood City
Fletcher Henderson	Fletcher Henderson
Villa Capra	La Rotunda
John Rutter	John Rutter
Vil·la romana del Casale	Villa del Casale
Bogeria	Galskap
Hiperboloide	Hyperboloide
Gualtari	Waltari (langobardisk konge)
Padània	Padania
Olimpíada Internacional de Física	Den Internasjonale Fysikkolympiaden
Districte d'Omagh	Omagh (distrikt)
Pla de Benioff	Wadati-Benioff-sonen
Natto	Nattō
In Plenty and In Time of Need	In Plenty and In Time of Need
Viatxeslav Iekímov	Vjatsjeslav Jekimov
Francisco Mancebo Pérez	Francisco Mancebo
Chick Webb	Chick Webb
Obertura Benko	Benkös åpning
Matthias Kessler	Matthias Kessler
Disc protoplanetari	Protoplanetarisk skive
Tour de l'Alt Var	Tour du Haut Var
Michael Boogerd	Michael Boogerd
Defensa Benoni	Benoni (sjakkåpning)
Volta a Dinamarca	Danmark rundt
Expedició de Lewis i Clark	Lewis og Clarks ekspedisjon
Giro de l'Emília	Giro dell'Emilia
Volta a Luxemburg	Luxembourg rundt
Cervesa trapista	Trappistøl
Religió mistèrica	Mysteriereligion
Unió del Poble Alemany	Deutsche Volksunion
Illa de Salina	Salina
Benjamin Tucker	Benjamin R. Tucker
Electrolux	Electrolux
Illa Gough	Gough Island
Batalla de Vukovar	Vukovar-slaget
Holyrood House	Holyrood Palace
Edgar Froese	Edgar Froese
Cristià Albert de Holstein-Gottorp	Christian Albrecht av Slesvig-Holsten-Gottorp
Palet	Pall
Bàcul pastoral	Bispestav
Deira (regne anglosaxó)	Deira
Deep Throat (pel·lícula)	Deep Throat (film)
USS Arizona (BB-39)	USS «Arizona» (1915)
Ernst Wilhelm Wolf	Ernst Wilhelm Wolf
Districte d'Orange Walk	Orange Walk (distrikt)
Angeln	Angeln
Districte de Toledo	Toledo (distrikt)
Districte de Belize	Belize (distrikt)
Injecció SQL	SQL-injeksjon
Ruptura sinosoviètica	Det kinesisk-sovjetiske bruddet
Königshain	Königshain
Schöpstal	Schöpstal
Kodersdorf	Kodersdorf
Municipi de Holstebro	Holstebro kommune
Schönbach (Saxònia)	Schönbach (Sachsen)
Markersdorf (Saxònia)	Markersdorf (Sachsen)
Weißkeißel	Weißkeißel
Waldhufen	Waldhufen
Mittelherwigsdorf	Mittelherwigsdorf
Gablenz	Gablenz (Oberlausitz)
Horka	Horka
Michael Frayn	Michael Frayn
Estret de Femern	Fehmarnbelt
Cèl·lula dendrítica	Dendrittisk celle
Ull nu	Blotte øye
Acció directa	Direkte aksjon
Oxihidrogen	Knallgass
Commutació de circuits	Linjesvitsjing
Gigha	Gigha
Euríbia	Eurybia (mytologi)
Metro de Glasgow	Glasgows undergrunnsbane
Metro de Brussel·les	Brussels metro
Medicament genèric	Synonympreparat
Bert Kaempfert	Bert Kaempfert
Orde del Bany	Order of the Bath
Sunrise (Florida)	Sunrise
Leinier Domínguez Pérez	Leinier Domínguez Pérez
Pareidolia	Pareidoli
Campionats del món de ciclisme en ruta	VM i landeveissykling
Rancho Mirage	Rancho Mirage
